Name,url,Bias
9News KUSA,https://www.9news.com/,center
11 News – KKCO,https://www.nbc11news.com/,center
12 News (KPNX),https://www.12news.com/,center
13 News – WIBW,https://www.wibw.com/,center
23WIFR News,https://www.wifr.com/,center
24/7 Wall St,https://247wallst.com/,center
24ur.com,https://www.24ur.com/,center
38 North,https://www.38north.org,center
CityNews Toronto,https://toronto.citynews.ca/,center
1010 Wins AM,https://www.audacy.com/1010wins,center
1440 Newsletter,https://join1440.com/,center
ABC7Chicago.com,https://abc7chicago.com/,center
ABC7 New York,https://abc7ny.com/,center
ABC12 News (WJRT),https://www.abc12.com/,center
ABS-CBN News,https://news.abs-cbn.com/,center
ActionNewsJax.com,https://www.actionnewsjax.com/,center
Ad Fontes Media,https://www.adfontesmedia.com/,center
Adweek,https://www.adweek.com/,center
Africa Check,https://africacheck.org,center
AgDaily,https://www.agdaily.com/,center
AFP (Agence France Presse),https://www.afp.com/en/home,center
Agenzia Nazionale Stampa Associata (ANSA),http://www.ansa.it,center
Agerpres,https://www.agerpres.ro/english,center
AgWeb,https://www.agweb.com/,center
Air Force Times,https://www.airforcetimes.com/,center
Airwars,https://airwars.org/,center
Alabama Political Reporter,https://www.alreporter.com/,center
Albany Democrat-Herald,https://democratherald.com/,center
Algemeen Dagblad,https://democratherald.com/,center
AllAfrica,https://allafrica.com,center
Alliance for Securing Democracy,http://securingdemocracy.gmfus.org/,center
Amarillo Globe-News,https://www.amarillo.com,center
American Heritage,https://www.americanheritage.com,center
American Press Institute (API),https://www.americanpressinstitute.org,center
AmoMama,https://news.amomama.com/,center
Anchorage Daily News,http://www.adn.com/,center
Anderson Independent Mail,https://www.independentmail.com/,center
Arc Digital,https://arcdigital.media/,center
Arirang,https://arcdigital.media/,center
Arizona Capitol Times,https://azcapitoltimes.com/,center
Army Times,https://www.armytimes.com,center
Ars Technica,https://arstechnica.com,center
Asheboro Courier-Tribune,https://www.courier-tribune.com/,center
Asia Times,https://www.asiatimes.com,center
Associated Press,https://apnews.com/,center
Atlas Obscura,https://www.atlasobscura.com/,center
Australian Associated Press (AAP),https://www.aap.com.au/,center
azfamily.com,https://www.azfamily.com/,center
Ballotpedia,https://ballotpedia.org/Main_Page,center
The Bangkok Post,http://www.bangkokpost.com/,center
The Baxter Bulletin,https://www.baxterbulletin.com,center
Belleville News-Democrat,https://www.bnd.com/,center
Benzinga,https://www.benzinga.com/,center
BestLife,https://www.benzinga.com/,center
Better Government Association,https://www.bettergov.org/,center
Big News Network,https://www.bignewsnetwork.com,center
Big Think,https://bigthink.com/,center
Biloxi Sun Herald,http://sunherald.com,center
Bismarck Tribune,https://bismarcktribune.com/,center
Blasting News,https://us.blastingnews.com,center
Bleeping Computer,https://www.bleepingcomputer.com,center
BNO News,http://bnonews.com/,center
BorderReport,https://www.borderreport.com/,center
Bozeman Daily Chronicle,https://www.bozemandailychronicle.com/,center
Bridge Michigan,https://www.bridgemi.com/,center
